"Month","Cost","Jail"
"January 2012",2154225,"HARRIS"
"February 2012",2179125,"HARRIS"
"March 2012",1955625,"HARRIS"
"April 2012",2010375,"HARRIS"
"May 2012",2060025,"HARRIS"
"June 2012",2075325,"HARRIS"
"July 2012",2094600,"HARRIS"
"August 2012",2164050,"HARRIS"
"September 2012",2182875,"HARRIS"
"October 2012",2088450,"HARRIS"
"November 2012",2026425,"HARRIS"
"December 2012",1927425,"HARRIS"
"January 2012",1035300.2,"TRAVIS"
"February 2012",993341.36,"TRAVIS"
"March 2012",875246.68,"TRAVIS"
"April 2012",982825.36,"TRAVIS"
"May 2012",932453.72,"TRAVIS"
"June 2012",995549.72,"TRAVIS"
"July 2012",975569.32,"TRAVIS"
"August 2012",1004908.96,"TRAVIS"
"September 2012",920675.8,"TRAVIS"
"October 2012",806892.68,"TRAVIS"
"November 2012",855686.92,"TRAVIS"
"December 2012",836863.28,"TRAVIS"
"January 2012",502093.1,"DALLAS"
"February 2012",473984.9,"DALLAS"
"March 2012",441666.4,"DALLAS"
"April 2012",533640.7,"DALLAS"
"May 2012",600768.3,"DALLAS"
"June 2012",656391.7,"DALLAS"
"July 2012",607389.75,"DALLAS"
"August 2012",641856.6,"DALLAS"
"September 2012",666958.05,"DALLAS"
"October 2012",655142.4,"DALLAS"
"November 2012",701152.65,"DALLAS"
"December 2012",743569.2,"DALLAS"
"January 2012",296700,"BEXAR"
"February 2012",290260,"BEXAR"
"March 2012",255070,"BEXAR"
"April 2012",274390,"BEXAR"
"May 2012",288788,"BEXAR"
"June 2012",289064,"BEXAR"
"July 2012",296654,"BEXAR"
"August 2012",343712,"BEXAR"
"September 2012",346288,"BEXAR"
"October 2012",330510,"BEXAR"
"November 2012",293986,"BEXAR"
"December 2012",299598,"BEXAR"
"January 2012",290007.42,"CAMERON"
"February 2012",295787.06,"CAMERON"
"March 2012",266935.47,"CAMERON"
"April 2012",251740.61,"CAMERON"
"May 2012",237990.66,"CAMERON"
"June 2012",236592.36,"CAMERON"
"July 2012",211329.74,"CAMERON"
"August 2012",246240.63,"CAMERON"
"September 2012",262693.96,"CAMERON"
"October 2012",310748.87,"CAMERON"
"November 2012",341278.42,"CAMERON"
"December 2012",320070.87,"CAMERON"
